El Dorado 151 Rum	151 Rum
Coffee-Infused Carpano Antica Formula Sweet Vermouth	Coffee-Infused Sweet Vermouth
Martell V.S.O.P. Cognac	Cognac
Pierre Ferrand 1840 Cognac	Cognac
Pierre Ferrand Ambre Cognac	Cognac
Rémy Martin V.S.O.P. Cognac	Cognac
Cognac	Cognac
Courvoisier Cognac	Cognac
Courvoisier VS Cognac	Cognac
Guillon-painturaud Cognac Grande Champagne Vsop	Cognac
Hine H Cognac	Cognac
Hine V.S.O.P. Cognac	Cognac
Louis Royer Force 53 Cognac	Cognac
Louis Royer Force 53 VSOP Cognac	Cognac
Coca-Cola Classic	Cola
Cranberry	Cranberry
Cranberry Juice	Cranberry Juice
Heavy Cream	Cream
Coco Lopez Cream of Coconut	Cream of Coconut
Alvear Festival Pale Cream Sherry	Cream Sherry
Morenita Cream Sherry	Cream Sherry
Del Maguey Crema de Mezcal	Crema de Mezcal
Marie Brizard White Crème de Cacao Liqueur	Creme de Cacao
Theuriet Crème de Cassis Liqueur	Creme de Cassis
Crème de Cassis Liqueur	Creme de Cassis
Merlet Crème de Fraise des Bois Strawberry Liqueur	Creme de Fraise
Marie Brizard White Crème de Menthe Liqueur	Creme de Menthe
Massenez Crème de Pêche Liqueur	Creme de Peche
Crème Yvette Liqueur	Creme de Violette
Rothman & Winter Crème de Violette Liqueur	Creme de Violette
Rhum Clément Créole Shrubb	Creole Shrubb
Cucumber	Cucumber
Dried Currant–infused Wild Turkey Rye Whiskey	Currant–infused Rye
Dill	Dill
Drambuie Liqueur	Drambuie
Dried Banana Chip	Dried Banana Chip
Dried Persimmon	Dried Persimmon
Dried Rose Buds	Dried Rose Buds
Anchor Junipero Gin	Dry Gin
Beefeater 24 Gin	Dry Gin
Beefeater London Dry Gin	Dry Gin
Bombay London Dry Gin	Dry Gin
Perry’s Tot Navy-strength Gin	Dry Gin
Tanqueray No. 10 Gin	Dry Gin
Aviation Gin	Dry Gin
Dolin Dry Vermouth	Dry Vermouth
Martini Bianco Vermouth	Dry Vermouth
Noilly Prat Dry Vermouth	Dry Vermouth
Vya Dry Vermouth	Dry Vermouth
Cinzano Bianco Vermouth	Dry Vermouth
Contratta Vermouth Bianco	Dry Vermouth
Dry Vermouth	Dry Vermouth
Egg	Egg
St-Germain Elderflower Liqueur	Elderflower Liqueur
John D. Taylor’s Velvet Falernum Liqueur	Falernum
Fennel Bulb	Fennel Bulb
St. Dalfour Fig Jam	Fig Jam
Fig Purée	Fig Puree
Fig-infused Elijah Craig Bourbon Whiskey	Fig-infused Bourbon
Galliano L’Autentico Liqueur	Galliano
Anchor Genevieve Gin	Genever
Bols Barrel-aged Genever	Genever
Bols Genever	Genever
Ginger	Ginger
Ginger Ale	Ginger Beer
Ginger Beer	Ginger Beer
Ginger Syrup	Ginger Syrup
Goji Berry-Infused Four Roses Single Barrel Bourbon Whiskey	Goji Berry-Infused Bourbon
Granny Smith Apple Juice	Granny Smith Apple Juice
Red Grape	Grape
Concord Grape	Grape
Bittermens Hopped Grapefruit Bitters	Grapefruit Bitters
Grapefruit	Grapefruit Juice
San Pellegrino Pompelmo Grapefruit Soda	Grapefruit Soda
Grapefruit-Infused Punt e Mes Sweet Vermouth	Grapefruit-Infused Sweet Vermouth
Ruby Red Grapefruit	Graperfruit Juice
Green Chartreuse Liqueur	Green Chartreuse
Green Grape	Green Grape
Grenadine	Grenadine
Bittermens Hellfire Habanero Shrub	Habanero Shrub
Hibiscus Syrup	Hibiscus Syrup
Chilled Brewed Hibiscus Tea	Hibiscus Tea
Honey	Honey
Acacia Honey Syrup	Honey Syrup
Honey Syrup	Honey Syrup
Honeydew Melon	Honeydew Melon
Horchata	Horchata
Tabasco	Hot Sauce
Decorative Ice Block	Ice Block
Green Flash Ipa Beer	IPA Beer
Redbreast 12-Year Irish Whiskey	Irish Whiskey
Black Bush Irish Whiskey	Irish Whiskey
Bushmills Irish Whiskey	Irish Whiskey
Jameson 12-Year Irish Whiskey	Irish Whiskey
Jameson Irish Whiskey	Irish Whiskey
Ardbeg 10-Year Single Malt Scotch Whisky	Islay Scotch
Compass Box Peat Monster Blended Malt Scotch Whisky	Islay Scotch
Laphroaig 10-Year Scotch Whisky	Islay Scotch
Laphroaig 12-Year Scotch Whisky	Islay Scotch
Jalapeño	Jalapeno
Jalapeño-Infused Siembra Azul Blanco Tequila	Jalapeño–Infused Blanco Tequila
Appleton Estate Reserve Rum	Jamaican Rum
Appleton Estate V/X Rum	Jamaican Rum
Smith & Cross Jamaican Rum	Jamaican Rum
Wray & Nephew Overproof Rum	Jamaican Rum
Nikka Taketsuru 12-Year Japanese Malt Whisky	Japanese Whisky
Suntory Hakushu 12-Year Whiskey	Japanese Whisky
Yamazaki 12-Year Japanese Single Malt Whisky	Japanese Whisky
Golden Star Sparkling White Jasmine Tea	Jasmine Tea
Jujube Tea-Infused Vya Sweet Vermouth	Jujube Tea-Infused Sweet Vermouth
Kaffir Lime Leaf	Kaffir Lime Leaf
42 Below Kiwi Vodka	Kiwi Vodka
Kumquat	Kumquat
Lapsang Souchong–Infused Siembra Azul Blanco Tequila	Lapsang Souchong–Infused Blanco Tequila
Scrappy’s Lavender Bitters	Lavender Bitters
Lavender Tincture	Lavender Tincture
Lavender-Infused Plymouth Gin	Lavender-Infused Plymouth Gin
Lemon	Lemon Juice
Lemon-Lime Soda	Lemon-Lime Soda
Toby’s Lime Cordial	Lime Cordial
Lime Cordial	Lime Cordial
Lime	Lime Juice
Blandy’s 5-Year Malmsey Madeira	Malvasia Madeira
Lustau Manzanilla Sherry	Manzanilla Sherry
La Cigarrera Manzanilla Sherry	Manzanilla Sherry
La Gitana Manzanilla Sherry	Manzanilla Sherry
Maple Syrup	Maple Syrup
Grade B Maple Syrup	Maple Syrup
Luxardo Maraschino Liqueur	Maraschino Liqueur
Maraska Maraschino Liqueur	Maraschino Liqueur
Charbay Meyer Lemon Vodka	Meyer Lemon Vodka
Sombra Mezcal	Mezcal
Del Maguey Chichicapa Mezcal	Mezcal
Del Maguey Espadin Especial Mezcal	Mezcal
Del Maguey San Luis Del Rio Mezcal	Mezcal
Del Maguey Vida Mezcal	Mezcal
Los Amantes Joven Mezcal	Mezcal
Los Nahuales Mezcal	Mezcal
Whole Milk	Milk
Mint	Mint
Gulden’s Spicy Brown Mustard	Mustard
Nectarine	Nectarine
Monteverdi Nocino Liqueur	Nocino
Nutmeg	Nutmeg
Hayman’s Old Tom Gin	Old Tom Gin
Ransom Old Tom Gin	Old Tom Gin
Green Olive	Olive
Lustau Oloroso Sherry	Oloroso Sherry
Navel Orange	Orange
House Orange Bitters	Orange Bitters
Regan’s Orange Bitters	Orange Bitters
Orange Flower Water	Orange Flower Water
Orange	Orange Juice
Cointreau Liqueur	Orange Liqueur
Gabriel Boudier Curaçao Liqueur	Orange Liqueur
Grand Marnier Liqueur	Orange Liqueur
Marie Brizard Orange Curaçao Liqueur	Orange Liqueur
Pierre Ferrand Dry Curaçao Liqueur	Orange Liqueur
Oregano	Oregano
Orgeat	Orgeat
Passion Fruit Syrup	Passion Fruit Syrup
Ricard Pastis Liqueur	Pastis
Peach	Peach
Fee Brothers Peach Bitters	Peach Bitters
Peach-Infused Maker's Mark Bourbon Whiskey	Peach-Infused Bourbon
Pear	Pear
Clear Creek Pear Brandy	Pear Brandy
Pecan-infused Buffalo Trace Bourbon Whiskey	Pecan-infused Bourbon
Pennyroyal-Infused Hayman’s Old Tom Gin	Pennyroyal-Infused Old Tom Gin
Pickled Ramp Brine	Pickled Ramp Brine
Pimm’s No. 1 Cup Liqueur	Pimm’s No. 1 Cup Liqueur
Pineapple	Pineapple Juice
Pineapple Leaf	Pineapple Leaf
Pineapple Syrup	Pineapple Syrup
Campo de Encanto Acholado Pisco	Pisco
Waqar Pisco	Pisco
Macchu Pisco	Pisco
Pisco Capel Reservado Brandy	Pisco
La Diablada Pisco	Pisco
Clear Creek Plum Brandy	Plum Brandy
Plymouth Gin	Plymouth Gin
Plymouth Navy Strength Gin	Plymouth Gin
Pomegranate Juice	Pomegranate Juice
Pama Pomegranate Liqueur	Pomegranate Liquer
Al Wadi Pomegranate Molasses	Pomegranate Molasses
Pomegranate Molasses	Pomegranate Molasses
Southampton Pumpkin Ale Beer	Pumpkin Beer
Pumpkin Butter	Pumpkin Butter
Pumpkin Puree	Pumpkin Puree
Kronan Swedish Punsch Liqueur	Punsch
Queen of Earl Tea–infused Siembra Azul Reposado Tequila	Queen of Earl Tea–infused Reposado Tequila
Quince Shrubb	Quince Shrubb
Raspberry	Raspberry
Red Thai Chile–infused Rittenhouse Rye Whiskey	Red Thai Chile–infused Rye Whiskey
Dry Red Wine	Red Wine
El Tesoro Reposado Tequila	Reposado Tequila
Partida Reposado Tequila	Reposado Tequila
Pueblo Viejo Reposado Tequila	Reposado Tequila
Siembra Azul Reposado Tequila	Reposado Tequila
Siete Leguas Reposado Tequila	Reposado Tequila
Centinela Reposado Tequila	Reposado Tequila
Don Julio Reposado Tequila	Reposado Tequila
Fortaleza Reposado Tequila	Reposado Tequila
Gran Centenario Reposado Tequila	Reposado Tequila
Jose Cuervo Tradicional Reposado Tequila	Reposado Tequila
Fee Brothers Rhubarb Bitters	Rhubarb Bitters
Ssal-Yut Rice Syrup	Rice Syrup
Dr. Konstantin Frank Dry Riesling Wine	Riesling Wine
Shinn Estate Rosé Wine	Rose Wine
Rosemary	Rosemary
Ruby Port	Ruby Port
Avuá Amburana Cachaça	Rum Agricole
Michter’s US No. 1 Rye Whiskey	Rye
Old Overholt Rye Whiskey	Rye
Rittenhouse Bonded Rye Whiskey	Rye
Russell’s Reserve Rye Whiskey	Rye
Templeton Rye Whiskey	Rye
Wild Turkey 101-proof Rye Whiskey	Rye
Wild Turkey Russell’s Reserve 6-Year Rye Whiskey	Rye
Old Potrero Hotaling’s Rye Whiskey	Rye
Sage	Sage
Kamoizumi “Shusen” Sake	Sake
Kamoizumi Nigori Sake	Sake
Kosher Salt	Salt
Sauvignon Blanc Wine	Sauvignon Blanc Wine
Scarlet Glow Syrup	Scarlet Glow Syrup
Scarlet Glow Tea–infused Macchu Pisco	Scarlet Glow Tea–infused Pisco
Sencha Green Tea-Infused Leblon Cachaça	Sencha Green Tea-Infused Agricole Rum
Blandy’s Sercial Madeira	Sercial Madeira
Shiso Leaves	Shiso Leaves
Simple Syrup	Simple Syrup
Oban 14-Year Single Malt Scotch Whisky	Single Malt Scotch
Springbank 10-Year Scotch Whisky	Single Malt Scotch
Benromach 12-Year Single Malt Scotch Whisky	Single Malt Scotch
Macallan Fine Oak 10-Year Scotch Whisky	Single Malt Scotch
Talisker 10-Year Single Malt Scotch Whisky	Single Malt Scotch
Bowmore 12-Year Scotch Whisky	Single Malt Scotch
Highland Park 12-Year Scotch Whisky	Single Malt Scotch
Knappogue Castle 12-Year Irish Whiskey	Single Malt Whiskey
Plymouth Sloe Gin Liqueur	Sloe Gin
Smoked Salt	Smoked Salt
Sparkling Rosé Wine	Sparkling Rosé Wine
Spiced Pear–infused Siembra Azul Blanco Tequila	Spiced Pear–infused Blanco Tequila
Spiced Macchu Pisco	Spiced Pisco
Mackeson Stout Beer	Stout Beer
Strawberry	Strawberry
Bonne Maman Strawberry Preserves	Strawberry Jam
Strawberry- and Pineapple-infused Macchu Pisco	Strawberry- and Pineapple-infused Pisco
Strawberry-Balsamic Gastrique	Strawberry-Balsamic Gastrique
Strawberry-Infused Mãe de Ouro Cachaça	Strawberry-Infused Agricole Rum
Sugar	Sugar
Superfine Sugar	Sugar
Sugar Cube	Sugar
Demerara Sugar	Sugar
Sugar Snap Pea–Infused Plymouth Gin	Sugar Snap Pea–Infused Plymouth Gin
Suze Liqueur	Suze
Carpano Antica Formula Sweet Vermouth	Sweet Vermouth
Cinzano Sweet Vermouth	Sweet Vermouth
Dolin Rouge Sweet Vermouth	Sweet Vermouth
House Sweet Vermouth	Sweet Vermouth
Martini Sweet Vermouth	Sweet Vermouth
Punt e Mes Sweet Vermouth	Sweet Vermouth
Vya Sweet Vermouth	Sweet Vermouth
Contratto Americano Rosso Vermouth	Sweet Vermouth
Szechuan Peppercorn–Infused Plymouth Gin	Szechuan Peppercorn–Infused Plymouth Gin
Tamarind Purée	Tamarind Purée
Tangerine	Tangerine
Otima 10-Year Tawny Port	Tawny Port
Dow’s Tawny Port	Tawny Port
George Dickel No. 12 Tennessee Whisky	Tennessee Whiskey
Thai Basil	Thai Basil
Bittermens ’elemakule Tiki Bitters	Tiki Bitters
Toasted Fennel Salt	Toasted Fennel Salt
Tonic Syrup	Tonic Syrup
Vanilla Bean	Vanilla Bean
Vanilla Butter	Vanilla Butter
Vanilla Syrup	Vanilla Syrup
Vegetable Skewer	Vegetable Skewer
A.B. Smeby Verbena Bitters	Verbena Bitters
Fusion Verjus Blanc	Verjus
Portuguese Vinho Verde Wine	Vinho Verde Wine
Charbay Vodka	Vodka
Russian Standard Vodka	Vodka
Smirnoff Vodka	Vodka
Belvedere Vodka	Vodka
Luksusowa Potato Vodka	Vodka
Walnut-Infused Hine V.S.O.P. Cognac	Walnut-Infused Cognac
Water	Water
Watermelon	Watermelon
Watermelon-infused Dolin Dry Vermouth	Watermelon-infused Dry Vermouth
Yellow Chartreuse Liqueur	Yellow Chartreuse
Greek Yogurt	Yogurt
